movie_id:string:ID,title:string,district:string,composer:string,showtime:string
"25824741","男人不可以穷","China_香港,China_中国大陆","郭建乐","2014.0"
"26220731","熊出没之雪岭熊风","China_中国大陆","刘富源","2015.0"
"24742719","至暴之年","United States of America_美国","J·C·尚多尔","2014.0"
"25835306","狱前教育","United States of America_美国","伊坦·柯亨,亚当·麦凯,Jay Martel,Ian Roberts","2015.0"
"25743833","不能说的夏天","China_台湾,China_中国大陆","徐琨华","2014.0"
"25723095","举报者","South Korea_韩国","Chun-Hyeong Lee","2014.0"
"26087473","名侦探柯南：江户川柯南失踪事件～史上最惨的两天～","Japan_日本","青山刚昌,内田贤治","2014.0"
"24843623","延坪海战","South Korea_韩国","","2015.0"
"24530939","骇客交锋","United States of America_美国","摩根·戴维斯·福尔","2015.0"
"25836152","去见瀑布","Japan_日本","冲田修一","2014.0"
"25820655","小野寺姐弟","Japan_日本","西田征史","2014.0"
"7059561","垃圾男孩","United States of America_美国,Brazil_巴西","理查德·柯蒂斯","2014.0"
"26274132","脑浆炸裂少女","Japan_日本","吉田恵里香","2015.0"
"24695277","一个人的武林","China_中国大陆,China_香港","刘浩良,麦天枢,陈德森","2014.0"
"25444447","黄飞鸿之英雄有梦","China_中国大陆,China_香港,United Kingdom_英国","杜致朗","2014.0"
"21359619","单身男女2","China_香港,China_中国大陆","韦家辉,陈伟斌,余曦","2014.0"
"20453001","勃艮第公爵","United Kingdom_英国","西德斯·巴比特·科努德森,Monica Swinn,Chiara D'Anna","2015.0"
"24743119","X射线营地","United States of America_美国","彼得·萨特勒","2014.0"
"6053684","恶魔","United States of America_美国,United Kingdom_英国","Will Canon,Max La Bella,Doug Simon","2015.0"
"25913617","奔跑者","United States of America_美国","奥斯汀·史塔克","2015.0"
"25812885","安娜贝尔","United States of America_美国","Gary Dauberman","2014.0"
"25958197","速度超越激情","United States of America_美国","贾森·弗莱德伯格,亚伦·赛尔策","2015.0"
"19897541","机动战士高达 THE ORIGIN I 青瞳的卡斯巴尔","Japan_日本","隅沢克之","2015.0"
"22508259","恶老板2","United States of America_美国","希恩·安德鲁斯,约翰·莫里斯,乔纳森·M·戈尔茨坦,约翰·弗朗西斯·戴利,迈克尔·马科维茨","2014.0"
"2147872","德古拉元年","United States of America_美国","Matt Sazama,Burk Sharpless","2014.0"
"25870671","黎明的沙耶","Japan_日本","山室有紀子,深川栄洋,加納朋子(原作)","2014.0"
"10577854","阿呆与阿瓜2","United States of America_美国","希恩·安德鲁斯,约翰·莫里斯,彼得·法拉利,鲍比·法拉利,班内特·耶林,迈克·切罗内","2014.0"
"25749871","占水师","Australia_澳大利亚,United States of America_美国,Turkey_土耳其","安德鲁·奈特,安德鲁·阿纳斯塔西奥斯","2014.0"
"26356473","平行宇宙","United States of America_美国","Christopher Leone,Laura Harkcom","2015.0"
"25870679","罪恶的编年史","South Korea_韩国","白云学","2015.0"
"20278806","永远十六岁","United States of America_美国","Andrea Seigel","2014.0"
"10756517","青春誓约","United Kingdom_英国","薇拉·布里坦,朱丽叶·托希迪","2015.0"
"6873819","机器纪元","Spain_西班牙,Bulgaria_保加利亚","加贝·伊班内兹,伊戈尔·拉格瑞塔,哈维尔·桑切斯·唐纳特","2014.0"
"25766663","第28年的甲子园","Japan_日本","大森寿美男,重松清(原作)","2015.0"
"3112738","赛琳娜","United States of America_美国,Czech Republic_捷克","Christopher Kyle","2014.0"
"25721544","不速之客","United States of America_美国","西蒙·巴雷特","2014.0"
"24882719","最好的我","United States of America_美国","尼古拉斯·斯帕克斯,威尔·法特斯,J·迈尔斯·古德洛","2014.0"
"6873740","安妮：纽约奇缘","United States of America_美国","威尔·古勒,艾莲·布洛什·麦肯纳,托马斯·米汉,哈罗德·格雷","2015.0"
"26036657","人艰不拆","Italy_意大利","","2014.0"
"25827270","我的爱我的新娘","South Korea_韩国","金智慧,李明世","2014.0"
"26263504","我很好，谢谢，我爱你","Thailand_泰国","Chaiyapruek Chalermpornpanich,Benjamaporn Srabua,梅兹·塔拉","2014.0"
"25920098","大象之歌","Canada_加拿大","Nicolas Billon","2015.0"
"25709273","痞子英雄2：黎明升起","China_中国大陆,China_台湾,China_香港","虞小卉,蔡岳勋,陈怡方","2014.0"
"26258872","小叮当：永无兽传奇","United States of America_美国","Steve Loter,Tom Rogers","2014.0"
"25757780","10年计划","United States of America_美国","J.C. Calciano","2015.0"
"3012031","鬼驱人","United States of America_美国","大卫·林赛-阿贝尔,史蒂文·斯皮尔伯格","2015.0"
"25828520","无赖汉","South Korea_韩国","吴胜旭","2015.0"
"25949984","ST 红白的搜查档案","Japan_日本","渡边雄介,今野敏(原作)","2015.0"
"12012475","行过死荫之地","United States of America_美国","劳伦斯·布洛克,斯科特·弗兰克","2014.0"
"25884436","灭绝：丧尸屠城","Spain_西班牙,Hungary_匈牙利","Miguel Ángel Vivas,阿尔贝托·马里尼","2015.0"
"26258752","仲夏夜魔法","United States of America_美国","David Berenbaum,乔治·卢卡斯,艾琳·梅琪,嘉里·瑞德斯托姆","2015.0"
"25908302","爸爸的假期","China_中国大陆","王岳伦,赵凌芳,右耳,康晓熙,刘十六","2015.0"
"22276795","逆转胜","China_台湾","孔玟燕,陆欣芷,阎玲怡","2015.0"
"25828521","今天的恋爱","South Korea_韩国","李炳宪","2015.0"
"25722262","男人女人和孩子","United States of America_美国","贾森·雷特曼,Erin Cressida Wilson,Chad Kultgen","2014.0"
"10741865","丧家之女","United States of America_美国,United Kingdom_英国","John Scott 3","2015.0"
"25789352","触不可及","China_中国大陆","高璇,任宝茹","2014.0"
"24325906","丑女也有春天","United States of America_美国","Josh A. Cagan,Kody Keplinger","2015.0"
"24842277","鲁斯和亚历克斯","United States of America_美国","Jill Ciment,查理·皮特斯","2015.0"
"25706778","摇滚英雄","China_中国大陆","谭华","2015.0"
"25800269","尚衣院","South Korea_韩国","Byounghak Lee","2014.0"
"26306980","乐高DC超级英雄：正义联盟大战异魔联盟","United States of America_美国","","2015.0"
"26356055","想爱就爱2.5","Thailand_泰国","","2015.0"
"25767853","四个月亮","Mexico_墨西哥","Sergio Tovar Velarde","2014.0"
