director_id:string:START_ID,:START_LABEL,movie_id:string:END_ID,:END_LABEL,:TYPE,year:string
"乔恩·沃茨","director","26310932","movie","DIRECT","2015.0"
"丹·福格尔曼","director","10440069","movie","DIRECT","2015.0"
"约翰·麦登","director","25809101","movie","DIRECT","2015.0"
"金洪宣","director","25819726","movie","DIRECT","2015.0"
"克利斯蒂安·佩措尔德","director","22637441","movie","DIRECT","2014.0"
"埃里克·达尼尔 ","director","11810348","movie","DIRECT","2014.0"
" 西蒙·J·史密斯","director","11810348","movie","DIRECT","2014.0"
"Rick Morales","director","26588820","movie","DIRECT","2015.0"
"托马斯·麦卡锡","director","25788954","movie","DIRECT","2014.0"
"汤姆·希克斯","director","6858224","movie","DIRECT","2015.0"
"文在容","director","25856577","movie","DIRECT","2015.0"
"邹凯光","director","26271893","movie","DIRECT","2015.0"
"Mark Raso","director","25772380","movie","DIRECT","2014.0"
"Dean Israelite","director","23767433","movie","DIRECT","2014.0"
"乔恩·克劳兹 ","director","21348445","movie","DIRECT","2014.0"
" Trevor Matthews","director","21348445","movie","DIRECT","2014.0"
"山崎贵","director","25774051","movie","DIRECT","2015.0"
"彭浩翔","director","4881607","movie","DIRECT","2014.0"
"广木隆一","director","25871647","movie","DIRECT","2015.0"
"大卫·里奇 ","director","25798131","movie","DIRECT","2014.0"
" 查德·史塔赫斯基","director","25798131","movie","DIRECT","2014.0"
"艾瑞克·范·洛依","director","6516595","movie","DIRECT","2014.0"
"Sam Liu","director","26361257","movie","DIRECT","2015.0"
"尼克·鲍威尔","director","20253940","movie","DIRECT","2015.0"
"Sergeiy Mokritskiy","director","26356495","movie","DIRECT","2015.0"
"王孟圆","director","22994771","movie","DIRECT","2015.0"
"金亚伦","director","25767613","movie","DIRECT","2015.0"
"郭子健 ","director","25824853","movie","DIRECT","2015.0"
" 黄智亨","director","25824853","movie","DIRECT","2015.0"
"豪梅·巴拿盖鲁","director","4845723","movie","DIRECT","2014.0"
"阿尔伯特·罗德里格斯","director","25892603","movie","DIRECT","2014.0"
"行定勋","director","25742242","movie","DIRECT","2014.0"
"郭暻泽","director","25856626","movie","DIRECT","2015.0"
"尹宰久","director","25790755","movie","DIRECT","2015.0"
"王川 ","director","24723061","movie","DIRECT","2014.0"
" 张钢 ","director","24723061","movie","DIRECT","2014.0"
" 周洁","director","24723061","movie","DIRECT","2014.0"
"金成浩","director","25834457","movie","DIRECT","2014.0"
"安妮·弗莱彻","director","25827399","movie","DIRECT","2015.0"
"易立","director","4154632","movie","DIRECT","2015.0"
"金依萌 ","director","25880244","movie","DIRECT","2015.0"
" 潘安子 ","director","25880244","movie","DIRECT","2015.0"
" 章家瑞 ","director","25880244","movie","DIRECT","2015.0"
" 宋迪","director","25880244","movie","DIRECT","2015.0"
"郭在容","director","25834473","movie","DIRECT","2014.0"
"高希希","director","25831308","movie","DIRECT","2014.0"
"李海暎","director","25984795","movie","DIRECT","2015.0"
"藤田容介","director","25750177","movie","DIRECT","2014.0"
"Kim Il-jong (김일종)","director","26378296","movie","DIRECT","2015.0"
"丁乃筝","director","26382849","movie","DIRECT","2015.0"
"杰里米·加尔利","director","3317370","movie","DIRECT","2015.0"
"钟澍佳","director","25824741","movie","DIRECT","2014.0"
"丁亮 ","director","26220731","movie","DIRECT","2015.0"
" 刘富源","director","26220731","movie","DIRECT","2015.0"
"J·C·尚多尔","director","24742719","movie","DIRECT","2014.0"
"伊坦·柯亨","director","25835306","movie","DIRECT","2015.0"
"王维明","director","25743833","movie","DIRECT","2014.0"
"林顺礼","director","25723095","movie","DIRECT","2014.0"
"山本泰一郎","director","26087473","movie","DIRECT","2014.0"
"金焕松","director","24843623","movie","DIRECT","2015.0"
"迈克尔·曼","director","24530939","movie","DIRECT","2015.0"
"冲田修一","director","25836152","movie","DIRECT","2014.0"
"西田征史","director","25820655","movie","DIRECT","2014.0"
"史蒂芬·戴德利","director","7059561","movie","DIRECT","2014.0"
"アベユーイチ","director","26274132","movie","DIRECT","2015.0"
"陈德森","director","24695277","movie","DIRECT","2014.0"
"周显扬","director","25444447","movie","DIRECT","2014.0"
"杜琪峰","director","21359619","movie","DIRECT","2014.0"
"彼得·斯崔克兰德","director","20453001","movie","DIRECT","2015.0"
"彼得·萨特勒","director","24743119","movie","DIRECT","2014.0"
"Will Canon","director","6053684","movie","DIRECT","2015.0"
"奥斯汀·史塔克","director","25913617","movie","DIRECT","2015.0"
